Data Structure,Function,Time,
Illinois_Peoria_Schools.csv,
List,Insert,8.75,
BST,Insert,33.4192,
HashTable,Insert,18.0323,
List,Find,8.8,
BST,Find,28.9,
HashTable,Find,23.1,
List,Delete,14.5,
BST,Delete,11.9,
HashTable,Delete,13.1,
Illinois_schools.csv,
List,Insert,28.0922,
BST,Insert,66.9592,
HashTable,Insert,11.1175,
List,Find,24.4,
BST,Find,49.5,
HashTable,Find,18,
List,Delete,21.5,
BST,Delete,43.9,
HashTable,Delete,18.3,
USA_Schools.csv,
List,Insert,3021.84,
BST,Insert,104.238,
HashTable,Insert,14.9566,
List,Find,254.6,
BST,Find,27,
HashTable,Find,47.7,
List,Delete,272.3,
BST,Delete,44.5,
HashTable,Delete,25.6
